"Title","Year","IMDb","Rotten.Tomatoes","Runtime"
"Inception",2010,8.8,0.87,148
"The Matrix",1999,8.7,0.87,136
"Avengers: Infinity War",2018,8.5,0.84,149
"Back to the Future",1985,8.5,0.96,116
"The Good, the Bad and the Ugly",1966,8.8,0.97,161
"Spider-Man: Into the Spider-Verse",2018,8.4,0.97,117
"The Pianist",2002,8.5,0.95,150
"Django Unchained",2012,8.4,0.87,165
"Raiders of the Lost Ark",1981,8.4,0.95,115
"Inglourious Basterds",2009,8.3,0.89,153
"Taxi Driver",1976,8.3,0.95,114
"3 Idiots",2009,8.4,1,170
"Pan's Labyrinth",2006,8.2,0.95,118
"Room",2015,8.1,0.93,118
"Monty Python and the Holy Grail",1975,8.2,0.97,91
"Once Upon a Time in the West",1968,8.5,0.95,165
"Indiana Jones and the Last Crusade",1989,8.2,0.88,127
"Groundhog Day",1993,8,0.96,101
"The King's Speech",2010,8,0.95,118
"Her",2013,8,0.95,126
"There Will Be Blood",2007,8.2,0.91,158
"The Social Network",2010,7.7,0.96,120
"Dallas Buyers Club",2013,8,0.93,117
"The Perks of Being a Wallflower",2012,8,0.86,103
"Life of Brian",1979,8.1,0.95,94
"Ex Machina",2015,7.7,0.92,108
"Silver Linings Playbook",2012,7.7,0.92,122
"District 9",2009,7.9,0.9,112
"The Irishman",2019,7.9,0.96,209
"Moon",2009,7.9,0.9,97
"Marriage Story",2019,8,0.95,137
"Drive",2011,7.8,0.92,100
"Train to Busan",2016,7.5,0.94,118
"Incredibles 2",2018,7.6,0.94,118
"Dangal",2016,8.4,0.88,161
"Klaus",2019,8.2,0.94,96
"Minority Report",2002,7.6,0.9,145
"Mystic River",2003,7.9,0.88,138
"Like Stars on Earth",2007,8.4,0.91,165
"Ferris Bueller's Day Off",1986,7.8,0.8,103
"Despicable Me",2010,7.6,0.81,95
"Hell or High Water",2016,7.6,0.97,102
"Sin City",2005,8,0.77,124
"Ip Man",2008,8,0.85,106
"Indiana Jones and the Temple of Doom",1984,7.6,0.85,118
