Station,Price,Mountain,AltitudeDown,AltitudeTop,Slopes,Lifts
Abondance,127,Alpes du Nord,1140,1700,13,9
Abries en Queyras,150,Alpes du Sud,1550,2450,16,5
Aillons Margeriaz,115,Alpes du Nord,1000,1900,40,18
Albiez Montrond,133,Alpes du Nord,1500,2100,26,11
Alpe dHuez,267,Alpes du Nord,1860,3300,111,70
Alpe du Grand Serre,138,Alpes du Nord,1367,2184,38,13
Ancelle,119,Alpes du Sud,1350,1807,20,12
Areches Beaufort,150,Alpes du Nord,1080,2320,29,13
Artouste,142,Pyrénées,1400,2100,18,11
Arvieux en Queyras,150,Alpes du Sud,1690,2105,17,5
Ascou Pailheres,113,Pyrénées,1500,2100,17,7
Auris en oisans,178,Alpes du Nord,1600,3300,24,11
Auron,162,Alpes du Sud,1600,2450,46,19
Aussois,149,Alpes du Nord,1500,2750,21,8
Autrans,96,Alpes du Nord,1050,1710,16,9
Avoriaz,260,Alpes du Nord,1800,2460,51,34
Ax 3 Domaines,184,Pyrénées,1400,2400,35,19
Beille,66,Pyrénées,1800,2000,16,2
Bellevaux - Hirmentaz,110,Alpes du Nord,1100,1610,26,15
Bernex,125,Alpes du Nord,1000,2000,19,12
Bessans,51,Alpes du Nord,1740,2000,3,3
Besse Super Besse,202,Massif central,1350,1800,27,22
Beuil les Launes,172,Alpes du Sud,1430,2100,56,23
Bolquere - Pyrenees 2000,192,Pyrénées,1650,2213,41,23
Bonneval sur Arc,140,Alpes du Nord,1800,3000,27,10
Brameloup,70,Massif central,1200,1390,7,5
Brides les Bains,249,Alpes du Nord,600,2950,66,41
Bussang - Larcenaire,87,Vosges,822,970,8,5
Camurac,113,Pyrénées,1500,1800,11,5
Cauterets,185,Pyrénées,1730,2450,23,15
Ceillac en Queyras,150,Alpes du Sud,1700,2450,16,5
Chabanon,127,Alpes du Sud,1550,2050,35,11
Chaillol,106,Alpes du Sud,1600,2000,12,8
Chalmazel,105,Massif central,1130,1634,15,8
Chamonix,258,Alpes du Nord,1042,3275,86,47
Champagny en Vanoise,265,Alpes du Nord,1250,3250,134,74
Chamrousse,173,Alpes du Nord,1400,2250,41,17
Chastreix Sancy,96,Massif central,1350,1730,17,6
Chatel,199,Alpes du Nord,1100,2200,71,61
Col de lArzelier,75,Alpes du Nord,1154,1500,7,4
Col de Marcieu,65,Alpes du Nord,1000,1400,6,6
Col de Porte,70,Alpes du Nord,1200,1650,5,5
Col de Rousset,97,Alpes du Nord,1255,1700,25,10
Combloux,180,Alpes du Nord,1183,1930,68,31
Cordon,93,Alpes du Nord,1000,1600,11,7
Correncon en Vercors,178,Alpes du Nord,1111,2050,50,18
Courchevel,256,Alpes du Nord,1350,2738,100,52
Crest Voland Cohennoz,163,Alpes du Nord,1230,1650,157,80
Crevoux,99,Alpes du Sud,1600,2550,16,5
Doucy,225,Alpes du Nord,1400,2550,61,34
Cambre d'Aze,148,Pyrénées,1640,2400,23,13
Flaine,246,Alpes du Nord,1600,2500,64,24
Flumet - St Nicolas la Chapelle,163,Alpes du Nord,1000,1650,157,6
Font dUrle,97,Alpes du Nord,1250,1700,14,11
Font-Romeu - Pyrenees 2000,192,Pyrénées,1650,2213,41,23
Formigueres,156,Pyrénées,1700,2400,19,7
Gaschney 360,85,Vosges,980,1290,7,3
Gavarnie Gedre,130,Pyrénées,1850,2400,28,8
Goulier,95,Pyrénées,1500,1850,6,4
Gourette,188,Pyrénées,1350,2450,39,8
Grand Tourmalet (La Mongie / Bareges),239,Pyrénées,1400,2500,68,33
Greolieres les Neiges,121,Alpes du Sud,1400,1800,22,11
Gresse en Vercors,107,Alpes du Nord,1245,1751,26,11
Guzet,160,Pyrénées,1400,2100,29,15
Hautacam,102,Pyrénées,1500,1813,16,7
Hauteville-Lompnes,60,Jura,900,1200,10,6
Isola 2000,162,Alpes du Sud,2000,2610,43,19
La Bresse Brabant,91,Vosges,880,1000,8,3
La Bresse Hohneck,187,Vosges,900,1350,34,16
La Bresse Lispach,97,Vosges,910,1120,8,5
La Chapelle dAbondance,133,Alpes du Nord,1000,1800,22,10
La Clusaz,201,Alpes du Nord,1040,2500,84,49
La Colmiane,119,Alpes du Sud,1400,1800,20,6
La Combe Saint Pierre,60,Jura,880,1035,4,4
